	GNM000007925	GNM000011465	GNM000011485	GNM000012465	GNM000012505	GNM000012625	GNM000012645	GNM000014585	GNM000015645	GNM000015665	GNM000015685	GNM000015705	GNM000015965	GNM000018065	GNM000018585	GNM000063505	GNM000153045	GNM000153065	GNM000153285	GNM000153805	GNM000153825	GNM000155635	GNM000158595	GNM000161795	GNM000179235	GNM000179255	GNM000195975	GNM000230675	GNM000515235	GNM000737535	GNM000737595	GNM000757845	GNM000757865	GNM000759855	GNM000759865	GNM000759875	GNM000759885	GNM000759935	GNM000759955	GNM000759975	GNM000760015	GNM000760035	GNM000760055	GNM000760075	GNM000760095	GNM000760115	GNM000760155	GNM000760175	GNM000760195	GNM000760215	GNM000760235	GNM000760255	GNM000760275	GNM000760295	GNM000760335	GNM000760355	GNM000760375	GNM001040845	GNM001631935	GNM001631965	GNM001631985	GNM001632005	GNM001632025	GNM001632045	GNM001632065	GNM001632075	GNM001632105	GNM001632125	GNM001632145	GNM001632165	GNM001885215	GNM001989415	GNM001989435	GNM001989455	GNM002006815	GNM002252625	GNM002252635	GNM002252665	GNM002252675	GNM002812945	GNM003011125	GNM003011885	GNM003208055	GNM003208065	GNM004209775	GNM004332405	GNM004332415	GNM007828135	GNM008807075	GNM009834675	GNM900088535
GNM000015685	1499	1471	1441	1820	1448	1468	1478	1441	1471	1449	1888	1457	1473	1481	1460	1413	1393	1406	1427	1451	1439	1394	1472	1464	1409	1422	1457	1442	1440	1447	1456	1489	1800	1469	1464	1471	1471	1469	1471	1485	1479	1477	1473	1473	1474	1473	1497	1465	1486	1486	1795	1497	1496	1424	1421	1492	1491	1445	1449	1430	1450	1447	1435	1447	1448	1448	1452	1444	1443	1456	1369	1485	1484	1484	1221	1404	1373	1396	1383	1474	1326	1373	1711	1745	1413	1412	1416	1371	1393	1392	1399
GNM000015705	1452	1373	2108	1443	1710	1752	1386	1769	1370	1349	1457	2382	1388	1381	1441	1768	1703	1751	1773	1733	1809	1699	1368	1670	1735	1719	1722	1785	1768	1777	1769	1385	1469	1376	1370	1373	1377	1379	1382	1403	1386	1386	1380	1377	1378	1383	1452	1444	1443	1443	1446	1452	1452	2089	2085	1452	1450	1792	1809	2138	2186	2114	2099	2126	2122	2138	1820	2105	2140	1774	1668	1386	1385	1385	1458	1711	1697	1666	1711	1371	1579	1659	1439	1428	1751	1733	1734	1669	1708	1707	1711
GNM000015965	1401	1640	1372	1468	1392	1420	1655	1409	1656	1576	1473	1388	1763	1648	1390	1377	1359	1371	1401	1408	1403	1359	1638	1402	1363	1371	1419	1404	1407	1410	1411	1664	1480	1611	1605	1640	1639	1613	1641	1684	1654	1664	1646	1642	1646	1650	1399	1395	1393	1393	1465	1398	1401	1356	1353	1395	1393	1409	1399	1357	1375	1367	1364	1376	1376	1373	1402	1364	1366	1400	1328	1686	1683	1683	1187	1364	1341	1348	1349	1655	1278	1335	1435	1439	1381	1381	1377	1329	1348	1352	1360
GNM000018065	1405	1631	1369	1470	1401	1417	1647	1417	1680	1636	1481	1381	1648	1816	1381	1376	1350	1374	1395	1405	1408	1353	1721	1405	1370	1382	1412	1420	1404	1404	1404	1672	1484	1674	1664	1630	1640	1675	1688	1648	1647	1661	1676	1675	1678	1648	1403	1389	1405	1405	1474	1402	1406	1359	1356	1399	1397	1411	1412	1356	1378	1370	1364	1380	1380	1374	1415	1368	1372	1426	1332	1651	1649	1649	1181	1359	1331	1355	1346	1655	1284	1336	1442	1448	1382	1385	1380	1334	1347	1347	1354
GNM000018585	1509	1370	1432	1453	1413	1426	1385	1421	1377	1372	1460	1441	1390	1381	1643	1393	1365	1381	1393	1425	1419	1364	1377	1418	1378	1392	1415	1413	1410	1411	1422	1381	1475	1377	1371	1369	1387	1377	1396	1390	1386	1378	1377	1375	1376	1373	1508	1557	1499	1498	1458	1507	1507	1421	1417	1507	1503	1421	1414	1425	1440	1429	1427	1436	1437	1433	1422	1427	1428	1414	1347	1381	1382	1382	1206	1370	1353	1373	1354	1371	1305	1344	1453	1437	1385	1392	1393	1348	1369	1363	1370
GNM000063505	1406	1371	1745	1418	1892	1934	1374	1993	1364	1366	1413	1768	1377	1376	1393	2328	1866	1988	2116	1875	2026	1859	1368	1855	1921	1888	1927	2026	1954	1960	1968	1382	1429	1365	1361	1372	1368	1365	1382	1378	1375	1376	1374	1374	1375	1394	1405	1392	1393	1394	1426	1405	1406	1759	1757	1405	1405	2008	2021	1752	1753	1744	1744	1776	1776	1752	2028	1741	1763	1961	1813	1386	1385	1385	1569	1869	1844	1829	1862	1369	1718	1830	1400	1389	2017	2009	2022	1814	1859	1863	1877
GNM000153045	1375	1350	1690	1389	1766	1825	1352	1858	1345	1342	1393	1703	1359	1350	1365	1866	2598	1943	1883	1787	1880	2095	1345	1744	2009	1919	1841	1897	1835	1845	1862	1361	1403	1343	1337	1350	1350	1343	1362	1360	1353	1353	1346	1345	1347	1366	1374	1366	1366	1367	1392	1374	1375	1689	1687	1374	1372	1870	1840	1683	1691	1694	1683	1700	1700	1698	1850	1692	1692	1792	2112	1367	1367	1367	1599	2335	2149	1951	2153	1357	1810	1976	1379	1363	1932	1849	1862	2111	1964	2170	2158
GNM000153065	1390	1361	1733	1401	1810	1865	1372	1919	1362	1349	1406	1751	1371	1374	1381	1988	1943	2431	1972	1810	1988	1892	1366	1794	2000	1879	1896	1942	1907	1898	1901	1371	1417	1358	1353	1362	1366	1359	1380	1375	1373	1374	1364	1364	1365	1374	1388	1386	1387	1388	1400	1389	1389	1716	1712	1388	1387	1922	1931	1724	1736	1730	1722	1745	1745	1737	1943	1729	1725	1878	1892	1383	1382	1382	1604	1956	1889	1917	1900	1367	1822	1895	1392	1378	2226	2016	2006	1893	1880	1920	1953
GNM000153285	1412	1381	1753	1425	1910	1977	1389	2023	1377	1366	1427	1773	1401	1395	1393	2116	1883	1972	2398	1903	2035	1885	1384	1884	1936	1912	1962	2070	1972	1988	2020	1406	1443	1380	1373	1382	1388	1379	1402	1395	1390	1393	1386	1385	1386	1409	1411	1395	1398	1399	1444	1411	1412	1754	1749	1410	1410	2046	2027	1754	1751	1750	1741	1766	1763	1753	2033	1747	1769	1979	1820	1401	1400	1400	1579	1889	1861	1829	1873	1383	1748	1853	1414	1403	2006	1999	1999	1819	1887	1875	1901
GNM000153805	1429	1389	1709	1441	2121	2020	1400	1943	1392	1377	1451	1733	1408	1405	1425	1875	1787	1810	1903	2276	1939	1778	1389	1928	1794	1818	1990	1948	1967	1972	1989	1423	1463	1389	1383	1389	1411	1388	1411	1407	1401	1399	1396	1392	1393	1412	1428	1424	1413	1413	1460	1428	1429	1706	1702	1428	1425	1952	1927	1708	1720	1713	1702	1733	1733	1725	1939	1708	1710	1909	1735	1407	1406	1406	1491	1792	1743	1751	1745	1399	1633	1743	1439	1422	1833	1837	1841	1735	1775	1754	1794
GNM000153825	1427	1389	1799	1431	1919	2005	1404	2028	1393	1377	1439	1809	1403	1408	1419	2026	1880	1988	2035	1939	2417	1868	1397	1916	1938	1942	1966	2065	1982	1999	2037	1414	1449	1392	1387	1390	1397	1392	1413	1407	1405	1405	1397	1396	1397	1420	1426	1410	1422	1422	1447	1426	1427	1791	1787	1424	1424	2039	2068	1779	1788	1797	1786	1807	1807	1800	2079	1794	1794	2014	1827	1410	1409	1409	1565	1882	1837	1843	1855	1397	1714	1831	1424	1408	2021	1999	1983	1826	1860	1863	1887
GNM000155635	1369	1346	1688	1389	1778	1850	1355	1846	1346	1340	1394	1699	1359	1353	1364	1859	2095	1892	1885	1778	1868	2514	1343	1748	2005	1934	1848	1865	1853	1869	1876	1367	1411	1342	1336	1347	1356	1340	1358	1362	1356	1359	1352	1350	1352	1368	1367	1365	1375	1376	1396	1368	1368	1680	1673	1367	1365	1853	1853	1680	1688	1692	1682	1707	1704	1691	1860	1687	1689	1804	1995	1368	1368	1368	1569	2088	2063	1944	2124	1354	1739	1956	1373	1361	1932	1846	1850	1994	1967	2133	2321
GNM000158595	1400	1626	1362	1463	1396	1412	1628	1410	1665	1620	1472	1368	1638	1721	1377	1368	1345	1366	1384	1389	1397	1343	1790	1400	1354	1372	1405	1403	1394	1395	1397	1665	1473	1667	1657	1625	1637	1669	1692	1637	1627	1643	1673	1673	1677	1644	1397	1384	1401	1401	1469	1397	1400	1351	1349	1393	1392	1408	1408	1350	1366	1361	1355	1363	1364	1363	1410	1357	1361	1416	1322	1647	1646	1646	1175	1352	1324	1346	1331	1637	1268	1328	1442	1444	1371	1375	1368	1323	1341	1336	1342
GNM000161795	1429	1400	1680	1459	1932	2080	1409	1879	1394	1381	1464	1670	1402	1405	1418	1855	1744	1794	1884	1928	1916	1748	1400	2182	1794	1820	1975	1895	1920	1923	2016	1429	1471	1396	1390	1401	1407	1395	1413	1412	1410	1410	1406	1404	1405	1424	1426	1410	1414	1414	1475	1427	1428	1658	1654	1425	1424	1895	1905	1655	1669	1669	1666	1670	1669	1671	1909	1664	1667	1911	1707	1421	1420	1420	1477	1752	1710	1730	1720	1404	1609	1708	1434	1432	1829	1831	1827	1708	1748	1725	1753
GNM000179235	1388	1365	1721	1401	1795	1867	1369	1905	1351	1346	1409	1735	1363	1370	1378	1921	2009	2000	1936	1794	1938	2005	1354	1794	2546	2108	1847	1939	1874	1881	1908	1386	1421	1356	1351	1365	1366	1356	1372	1367	1370	1378	1368	1364	1365	1384	1386	1379	1382	1383	1412	1387	1387	1707	1706	1386	1385	1903	1915	1709	1716	1726	1720	1728	1727	1728	1920	1724	1724	1870	1933	1381	1381	1381	1625	2034	2009	1991	2035	1364	1833	1994	1391	1377	2098	1960	1936	1935	1925	2037	2025
GNM000179255	1409	1371	1709	1418	1812	1877	1377	1905	1362	1368	1422	1719	1371	1382	1392	1888	1919	1879	1912	1818	1942	1934	1372	1820	2108	2363	1855	1916	1847	1862	1892	1391	1433	1363	1360	1372	1380	1363	1381	1375	1378	1388	1377	1373	1376	1391	1407	1387	1396	1397	1428	1408	1408	1703	1701	1407	1406	1908	1891	1700	1703	1711	1703	1711	1709	1714	1899	1707	1713	1888	1874	1390	1390	1390	1574	1953	1904	1925	1924	1378	1765	1936	1406	1395	1950	1915	1889	1872	1855	1919	1931
GNM000195975	1425	1401	1711	1446	1986	2086	1410	1913	1396	1384	1457	1722	1419	1412	1415	1927	1841	1896	1962	1990	1966	1848	1405	1975	1847	1855	2322	1940	2045	2034	2030	1429	1459	1398	1391	1402	1410	1399	1419	1420	1411	1415	1406	1404	1405	1427	1422	1412	1416	1416	1457	1423	1424	1690	1684	1422	1421	1915	1928	1700	1712	1710	1699	1724	1722	1713	1934	1706	1705	1912	1770	1430	1429	1429	1522	1851	1799	1790	1807	1412	1689	1786	1429	1414	1930	1898	1893	1770	1821	1809	1855
GNM000230675	1421	1395	1770	1441	1940	1957	1414	2186	1407	1399	1442	1785	1404	1420	1413	2026	1897	1942	2070	1948	2065	1865	1403	1895	1939	1916	1940	2491	1954	1968	1992	1422	1455	1397	1391	1396	1403	1400	1416	1412	1415	1403	1406	1407	1407	1423	1420	1413	1410	1411	1459	1420	1421	1784	1780	1419	1417	2194	2078	1770	1767	1769	1757	1778	1778	1773	2090	1764	1775	2021	1836	1408	1407	1407	1571	1909	1862	1854	1872	1404	1742	1858	1427	1421	1974	1975	1953	1839	1854	1876	1878
GNM000515235	1420	1389	1735	1433	1969	2083	1401	1947	1393	1380	1440	1768	1407	1404	1410	1954	1835	1907	1972	1967	1982	1853	1394	1920	1874	1847	2045	1954	2452	2316	2033	1414	1456	1389	1381	1390	1399	1388	1408	1409	1401	1407	1393	1394	1396	1417	1419	1409	1409	1409	1445	1419	1420	1732	1726	1417	1417	1963	1983	1735	1742	1737	1727	1759	1755	1749	1993	1733	1742	1946	1789	1420	1419	1419	1537	1848	1819	1785	1821	1403	1682	1771	1422	1411	1925	1899	1897	1790	1844	1828	1867
GNM000737535	1438	1400	1747	1435	1983	2092	1407	1958	1403	1379	1447	1777	1410	1404	1411	1960	1845	1898	1988	1972	1999	1869	1395	1923	1881	1862	2034	1968	2316	2482	2036	1421	1454	1388	1382	1401	1403	1388	1409	1413	1406	1409	1398	1395	1397	1422	1437	1411	1413	1413	1446	1437	1438	1751	1745	1435	1435	1966	1994	1745	1751	1760	1741	1778	1774	1754	2004	1757	1758	1959	1794	1424	1423	1423	1541	1859	1823	1783	1830	1405	1694	1776	1427	1413	1929	1913	1920	1794	1855	1835	1874
GNM000737595	1431	1398	1759	1446	1980	2167	1408	2017	1394	1383	1456	1769	1411	1404	1422	1968	1862	1901	2020	1989	2037	1876	1397	2016	1908	1892	2030	1992	2033	2036	2428	1422	1466	1399	1393	1398	1410	1398	1416	1420	1409	1411	1397	1397	1398	1423	1429	1421	1417	1417	1459	1430	1430	1739	1735	1428	1427	2027	2003	1754	1750	1755	1742	1768	1767	1760	2011	1750	1752	1944	1807	1428	1427	1427	1550	1870	1823	1807	1844	1405	1697	1807	1436	1424	1940	1925	1911	1807	1875	1849	1879
GNM000757845	1414	1652	1381	1474	1423	1437	1658	1420	1672	1605	1489	1385	1664	1672	1381	1382	1361	1371	1406	1423	1414	1367	1665	1429	1386	1391	1429	1422	1414	1421	1422	1829	1490	1642	1636	1652	1663	1647	1665	1664	1657	1682	1674	1670	1673	1677	1410	1394	1413	1413	1500	1411	1413	1360	1356	1408	1406	1427	1425	1367	1380	1376	1368	1386	1384	1386	1430	1372	1380	1433	1343	1677	1676	1676	1183	1373	1340	1365	1359	1665	1294	1348	1452	1456	1396	1390	1383	1344	1365	1362	1367
GNM000757865	1495	1479	1456	1794	1451	1471	1483	1443	1475	1453	1800	1469	1480	1484	1475	1429	1403	1417	1443	1463	1449	1411	1473	1471	1421	1433	1459	1455	1456	1454	1466	1490	1890	1475	1468	1479	1485	1475	1492	1496	1485	1485	1478	1479	1481	1485	1493	1484	1486	1487	1787	1493	1492	1439	1436	1490	1488	1455	1455	1452	1463	1465	1455	1466	1467	1463	1455	1463	1459	1465	1374	1491	1488	1488	1230	1416	1386	1402	1397	1478	1332	1384	1707	1739	1426	1424	1434	1376	1403	1400	1409
GNM000759855	1404	1614	1366	1464	1388	1406	1623	1398	1639	1614	1469	1376	1611	1674	1377	1365	1343	1358	1380	1389	1392	1342	1667	1396	1356	1363	1398	1397	1389	1388	1399	1642	1475	1828	1803	1613	1618	1810	1672	1630	1624	1673	1657	1656	1659	1623	1401	1390	1410	1410	1468	1401	1404	1356	1353	1399	1396	1393	1394	1355	1371	1364	1359	1370	1371	1370	1394	1361	1369	1414	1323	1625	1625	1625	1182	1356	1325	1347	1338	1622	1271	1329	1432	1439	1367	1371	1365	1325	1343	1341	1343
GNM000759865	1399	1608	1359	1458	1381	1400	1618	1393	1627	1601	1464	1370	1605	1664	1371	1361	1337	1353	1373	1383	1387	1336	1657	1390	1351	1360	1391	1391	1381	1382	1393	1636	1468	1803	1812	1607	1612	1805	1656	1622	1619	1671	1646	1645	1648	1616	1396	1383	1403	1403	1461	1396	1399	1351	1348	1394	1391	1387	1385	1349	1365	1358	1354	1364	1365	1364	1385	1355	1363	1406	1316	1619	1618	1618	1177	1349	1320	1341	1330	1617	1265	1323	1425	1433	1362	1366	1360	1318	1337	1336	1337
GNM000759875	1404	1812	1363	1468	1386	1406	1629	1396	1648	1616	1471	1373	1640	1630	1369	1372	1350	1362	1382	1389	1390	1347	1625	1401	1365	1372	1402	1396	1390	1401	1398	1652	1479	1613	1607	1815	1612	1612	1635	1637	1629	1671	1632	1631	1634	1641	1403	1385	1393	1394	1466	1402	1404	1348	1346	1400	1397	1396	1391	1349	1367	1362	1356	1366	1367	1367	1390	1358	1363	1409	1326	1652	1652	1652	1181	1360	1339	1351	1351	1623	1276	1332	1425	1436	1372	1371	1367	1327	1342	1352	1352
GNM000759885	1402	1613	1375	1464	1400	1416	1649	1408	1644	1580	1471	1377	1639	1640	1387	1368	1350	1366	1388	1411	1397	1356	1637	1407	1366	1380	1410	1403	1399	1403	1410	1663	1485	1618	1612	1612	1740	1618	1671	1638	1652	1649	1659	1654	1656	1649	1399	1398	1397	1397	1466	1399	1401	1358	1356	1397	1394	1414	1408	1370	1374	1375	1367	1382	1382	1374	1405	1372	1374	1413	1332	1654	1652	1652	1188	1357	1338	1353	1347	1633	1281	1335	1455	1445	1378	1377	1372	1334	1352	1355	1354
GNM000759935	1404	1613	1368	1462	1387	1406	1623	1397	1638	1610	1469	1379	1613	1675	1377	1365	1343	1359	1379	1388	1392	1340	1669	1395	1356	1363	1399	1400	1388	1388	1398	1647	1475	1810	1805	1612	1618	1826	1667	1630	1624	1675	1656	1655	1657	1625	1401	1387	1409	1409	1468	1401	1404	1357	1354	1399	1396	1391	1392	1358	1373	1365	1360	1371	1372	1372	1393	1362	1372	1412	1322	1627	1627	1627	1182	1353	1324	1346	1336	1624	1272	1330	1432	1437	1367	1371	1365	1324	1342	1341	1344
GNM000759955	1411	1636	1380	1471	1404	1424	1643	1418	1671	1623	1471	1382	1641	1688	1396	1382	1362	1380	1402	1411	1413	1358	1692	1413	1372	1381	1419	1416	1408	1409	1416	1665	1492	1672	1656	1635	1671	1667	1797	1644	1646	1659	1682	1679	1681	1662	1409	1404	1400	1400	1474	1408	1412	1367	1365	1405	1403	1418	1418	1372	1379	1379	1372	1382	1383	1378	1419	1375	1377	1428	1336	1663	1661	1661	1192	1366	1341	1353	1351	1650	1283	1342	1448	1450	1389	1392	1385	1338	1358	1353	1354
GNM000759975	1419	1637	1390	1480	1401	1424	1683	1403	1654	1578	1485	1403	1684	1648	1390	1378	1360	1375	1395	1407	1407	1362	1637	1412	1367	1375	1420	1412	1409	1413	1420	1664	1496	1630	1622	1637	1638	1630	1644	1806	1683	1659	1650	1649	1652	1644	1416	1405	1410	1410	1484	1416	1418	1371	1368	1413	1410	1407	1406	1371	1386	1383	1380	1392	1390	1391	1405	1380	1387	1414	1331	1679	1677	1677	1195	1373	1340	1353	1347	1647	1284	1339	1451	1450	1385	1380	1381	1332	1347	1350	1360
GNM000760015	1417	1630	1378	1474	1394	1416	1817	1408	1654	1593	1479	1386	1654	1647	1386	1375	1353	1373	1390	1401	1405	1356	1627	1410	1370	1378	1411	1415	1401	1406	1409	1657	1485	1624	1619	1629	1652	1624	1646	1683	1821	1655	1647	1647	1650	1636	1413	1397	1408	1409	1471	1414	1416	1364	1361	1411	1409	1412	1404	1361	1380	1375	1371	1381	1382	1382	1404	1372	1376	1410	1332	1664	1663	1663	1188	1362	1333	1356	1344	1639	1289	1336	1451	1446	1382	1386	1378	1334	1345	1347	1358
GNM000760035	1408	1671	1376	1475	1401	1415	1655	1400	1668	1596	1477	1386	1664	1661	1378	1376	1353	1374	1393	1399	1405	1359	1643	1410	1378	1388	1415	1403	1407	1409	1411	1682	1485	1673	1671	1671	1649	1675	1659	1659	1655	1805	1656	1656	1657	1671	1406	1390	1406	1406	1470	1405	1409	1360	1358	1402	1400	1401	1399	1363	1376	1376	1374	1382	1383	1383	1398	1373	1376	1419	1336	1689	1689	1689	1186	1368	1345	1362	1356	1665	1280	1343	1434	1443	1386	1380	1375	1338	1354	1359	1364
GNM000760055	1409	1633	1372	1468	1401	1412	1646	1405	1674	1620	1473	1380	1646	1676	1377	1374	1346	1364	1386	1396	1397	1352	1673	1406	1368	1377	1406	1406	1393	1398	1397	1674	1478	1657	1646	1632	1659	1656	1682	1650	1647	1656	1815	1800	1804	1654	1406	1392	1404	1404	1472	1406	1409	1361	1359	1403	1400	1406	1404	1362	1374	1373	1366	1375	1375	1375	1403	1370	1376	1417	1327	1661	1658	1658	1180	1353	1327	1349	1336	1650	1273	1332	1440	1440	1380	1382	1372	1329	1342	1340	1349
GNM000760075	1407	1632	1369	1467	1399	1407	1645	1404	1671	1621	1473	1377	1642	1675	1375	1374	1345	1364	1385	1392	1396	1350	1673	1404	1364	1373	1404	1407	1394	1395	1397	1670	1479	1656	1645	1631	1654	1655	1679	1649	1647	1656	1800	1810	1807	1652	1403	1390	1404	1404	1473	1404	1406	1360	1357	1400	1398	1405	1403	1360	1373	1369	1365	1373	1374	1374	1401	1366	1371	1416	1326	1659	1657	1657	1179	1355	1329	1350	1337	1649	1273	1333	1440	1441	1376	1381	1372	1328	1341	1335	1349
GNM000760095	1408	1635	1369	1468	1400	1409	1649	1405	1673	1623	1474	1378	1646	1678	1376	1375	1347	1365	1386	1393	1397	1352	1677	1405	1365	1376	1405	1407	1396	1397	1398	1673	1481	1659	1648	1634	1656	1657	1681	1652	1650	1657	1804	1807	1816	1654	1404	1390	1405	1405	1474	1405	1407	1360	1357	1401	1399	1405	1404	1360	1373	1369	1365	1373	1374	1374	1402	1366	1372	1417	1327	1662	1661	1661	1180	1357	1331	1351	1338	1651	1275	1334	1441	1441	1377	1382	1373	1329	1342	1336	1350
